FID,time,XCO2Dpp,XCH4Dpp,TempC,SPCScm,ChlARFU,ChlAgL,BGAPCRF,BGAPCL,TurbFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Pressps,NITRATEU,NITRATEM,ABS254,ABS350,TINT,TSPEC,TLAMP,Temp_ta,SPC_tau,pH_tau,fDOM_QS,ODO_tau,ChlA_ta,Turb_ta,CO2_tau,CH4uM,CH4Sat,CO2uM,CO2Sat,CO2uM_t,CO2St_t
28,10/2/2014 8:35,"1,792.68",170.905,16.215,335,1.32,5.33,-0.54,-0.51,3.07,25.61,78.85,60.7,5.96,7.66,-1.103,22.9,0.32,0.64,0.31,19.1,19.9,20.1,16.217,334.9,7.66,81.28,60.7,5.28,3.07,"1,782.65",0.290412436,"8,947.91",80.60178724,448.17,80.15082224,445.6625
29,10/2/2014 8:35,"1,793.34",170.661,16.215,335,1.32,5.33,-0.54,-0.51,3.06,25.55,78.66,60.7,5.96,7.66,-1.103,0,0,0,0,0,0,0,16.217,334.8,7.66,81.66,60.7,5.24,3.065,"1,786.89",0.289997816,"8,935.13",80.6314619,448.335,80.34145949,446.7225
30,10/2/2014 8:35,"1,795.12",170.981,16.215,335,1.33,5.36,-0.55,-0.52,3.06,25.57,78.74,60.7,5.96,7.66,-1.104,0,0,0,0,0,0,0,16.216,334.8,7.66,81.7,60.7,5.25,3.095,"1,804.16",0.290547479,"8,951.88",80.71399783,448.78,81.12046344,451.04
31,10/2/2014 8:35,"1,792.13",171.089,16.215,335,1.33,5.35,-0.55,-0.52,3.06,25.6,78.84,60.7,5.96,7.66,-1.104,0,0,0,0,0,0,0,16.216,334.8,7.66,81.74,60.7,5.26,3.095,"1,802.95",0.290731003,"8,957.54",80.57955843,448.0325,81.0660582,450.7375
32,10/2/2014 8:35,"1,792.16",171.07,16.215,335,1.32,5.32,-0.54,-0.51,3.06,25.72,79.2,60.7,5.96,7.66,-1.105,0,0,0,0,0,0,0,16.217,334.9,7.66,81.64,60.7,5.26,3.09,"1,776.48",0.290692815,"8,956.54",80.5784072,448.04,79.87340908,444.12
33,10/2/2014 8:35,"1,795.62",170.741,16.216,335,1.32,5.32,-0.53,-0.5,3.06,25.79,79.41,60.7,5.96,7.66,-1.105,0,0,0,0,0,0,0,16.218,334.9,7.66,81.48,60.7,5.24,3.065,"1,776.65",0.290127867,"8,939.32",80.73146955,448.905,79.87857419,444.1625
34,10/2/2014 8:35,"1,792.06",171.048,16.216,334.9,1.32,5.33,-0.54,-0.51,3.07,25.92,79.8,60.7,5.96,7.66,-1.105,0,0,0,0,0,0,0,16.218,334.9,7.66,81.45,60.7,5.18,3.09,"1,773.06",0.29064953,"8,955.39",80.57141117,448.015,79.717167,443.265
35,10/2/2014 8:35,"1,789.64",170.564,16.216,334.9,1.32,5.32,-0.54,-0.51,3.08,26.01,80.09,60.7,5.96,7.66,-1.105,0,0,0,0,0,0,0,16.218,334.9,7.66,81.29,60.7,5.2,3.095,"1,780.46",0.289827104,"8,930.05",80.46260744,447.41,80.04987262,445.115
36,10/2/2014 8:35,"1,791.62",170.823,16.216,334.9,1.32,5.31,-0.53,-0.49,3.1,26.11,80.39,60.7,5.96,7.66,-1.106,0,0,0,0,0,0,0,16.217,334.9,7.66,81.47,60.7,5.17,3.11,"1,784.61",0.290273097,"8,943.61",80.55412793,447.905,80.23894701,446.1525
37,10/2/2014 8:35,"1,789.75",170.434,16.216,334.9,1.32,5.3,-0.53,-0.5,3.08,26.2,80.68,60.7,5.96,7.66,-1.106,0,0,0,0,0,0,0,16.217,334.9,7.66,81.55,60.7,5.19,3.09,"1,776.33",0.289612084,"8,923.25",80.47004971,447.4375,79.86666484,444.0825
38,10/2/2014 8:35,"1,792.82",170.692,16.216,334.9,1.31,5.28,-0.52,-0.48,3.08,26.25,80.82,60.7,5.96,7.66,-1.106,0,0,0,0,0,0,0,16.217,334.9,7.66,81.8,60.7,5.2,3.045,"1,784.66",0.290050494,"8,936.75",80.60808186,448.205,80.24119509,446.165
39,10/2/2014 8:35,"1,794.33",170.956,16.217,334.9,1.32,5.3,-0.52,-0.49,3.08,26.31,81.01,60.7,5.96,7.66,-1.106,0,0,0,0,0,0,0,16.217,334.9,7.66,81.94,60.7,5.18,3.015,"1,795.45",0.290499099,"8,950.58",80.6759739,448.5825,80.72633091,448.8625
40,10/2/2014 8:35,"1,789.63",170.947,16.217,334.9,1.32,5.31,-0.52,-0.49,3.09,26.31,81.02,60.7,5.96,7.66,-1.106,0,0,0,0,0,0,0,16.217,334.9,7.66,81.91,60.7,5.2,3.005,"1,791.32",0.290483805,"8,950.10",80.46465431,447.4075,80.54063944,447.83
41,10/2/2014 8:35,"1,788.70",170.875,16.217,334.9,1.31,5.29,-0.52,-0.49,3.08,26.35,81.14,60.7,5.96,7.66,-1.107,0,0,0,0,0,0,0,16.218,334.9,7.66,81.88,60.7,5.17,3.01,"1,796.21",0.290355564,"8,946.34",80.42034483,447.175,80.75799608,449.0525
42,10/2/2014 8:35,"1,792.99",170.809,16.217,334.9,1.31,5.27,-0.53,-0.49,3.09,26.35,81.13,60.7,5.96,7.66,-1.108,22.56,0.32,0.64,0.31,19.1,19.9,20.1,16.219,334.9,7.66,81.44,60.7,5.17,3.015,"1,796.25",0.290237522,"8,942.88",80.61072313,448.2475,80.7572889,449.0625
43,10/2/2014 8:35,"1,790.43",170.255,16.217,334.9,1.31,5.27,-0.53,-0.5,3.08,26.36,81.17,60.7,5.96,7.66,-1.109,0,0,0,0,0,0,0,16.219,334.9,7.66,81.15,60.7,5.19,3.015,"1,795.86",0.289296169,"8,913.87",80.49562854,447.6075,80.73975495,448.965
44,10/2/2014 8:35,"1,786.59",170.457,16.217,334.9,1.31,5.29,-0.53,-0.5,3.08,26.41,81.32,60.7,5.96,7.66,-1.11,0,0,0,0,0,0,0,16.219,334.9,7.66,80.45,60.7,5.2,3.02,"1,799.15",0.289639406,"8,924.45",80.32298665,446.6475,80.88766949,449.7875
45,10/2/2014 8:35,"1,786.46",170.282,16.217,334.9,1.31,5.26,-0.52,-0.49,3.09,26.43,81.37,60.7,5.96,7.66,-1.111,0,0,0,0,0,0,0,16.218,334.8,7.66,79.91,60.7,5.28,3.065,"1,787.66",0.289347921,"8,915.29",80.31963394,446.615,80.3735862,446.915
46,10/2/2014 8:35,"1,786.30",170.408,16.217,334.9,1.31,5.27,-0.52,-0.49,3.09,26.49,81.56,60.7,5.96,7.66,-1.112,0,0,0,0,0,0,0,16.218,334.7,7.66,79.27,60.7,5.27,3.07,"1,805.73",0.289562024,"8,921.88",80.31244031,446.575,81.18601737,451.4325
47,10/2/2014 8:35,"1,788.89",170.81,16.217,334.9,1.3,5.24,-0.52,-0.49,3.09,26.48,81.55,60.7,5.96,7.66,-1.112,0,0,0,0,0,0,0,16.218,334.7,7.66,78.56,60.7,5.29,3.065,"1,813.26",0.290245114,"8,942.93",80.42888727,447.2225,81.52456783,453.315
48,10/2/2014 8:35,"1,791.25",170.536,16.218,334.9,1.3,5.23,-0.52,-0.49,3.08,26.53,81.68,60.7,5.96,7.66,-1.113,0,0,0,0,0,0,0,16.219,334.7,7.66,78.14,60.7,5.31,3.045,"1,796.44",0.289773642,"8,928.59",80.53249477,447.8125,80.76583107,449.11
49,10/2/2014 8:35,"1,786.91",170.408,16.218,334.9,1.3,5.23,-0.52,-0.48,3.07,26.49,81.57,60.7,5.96,7.66,-1.114,0,0,0,0,0,0,0,16.22,334.8,7.66,77.64,60.7,5.31,3.065,"1,793.79",0.289550267,"8,921.88",80.33488102,446.7275,80.64418814,448.4475
50,10/2/2014 8:35,"1,788.77",170.425,16.218,334.9,1.29,5.21,-0.51,-0.48,3.06,26.45,81.43,60.7,5.96,7.66,-1.114,0,0,0,0,0,0,0,16.22,334.8,7.66,77.72,60.5,5.33,3.095,"1,801.48",0.289579153,"8,922.77",80.41850184,447.1925,80.98991078,450.37
51,10/2/2014 8:35,"1,787.81",170.272,16.218,334.8,1.3,5.22,-0.51,-0.47,3.06,26.39,81.27,60.7,5.96,7.66,-1.114,0,0,0,0,0,0,0,16.22,334.8,7.66,77.84,60.3,5.34,3.095,"1,816.85",0.289319181,"8,914.76",80.37534271,446.9525,81.68090647,454.2125
52,10/2/2014 8:35,"1,785.28",170.612,16.218,334.8,1.29,5.21,-0.51,-0.48,3.05,26.26,80.86,60.7,5.96,7.66,-1.114,22.43,0.31,0.64,0.3,19.2,20,20.2,16.219,334.8,7.66,78.43,60.3,5.34,3.115,"1,764.97",0.289902781,"8,932.57",80.26409059,446.32,79.35097686,441.2425
53,10/2/2014 8:35,"1,788.87",170.409,16.218,334.8,1.29,5.2,-0.51,-0.47,3.05,26.18,80.62,60.7,5.96,7.66,-1.115,0,0,0,0,0,0,0,16.219,334.8,7.66,78.96,60.4,5.35,3.105,"1,742.61",0.289557845,"8,921.94",80.42549277,447.2175,78.34569754,435.6525
54,10/2/2014 8:35,"1,787.48",170.719,16.218,334.8,1.29,5.21,-0.51,-0.48,3.04,26.01,80.08,60.7,5.96,7.66,-1.115,0,0,0,0,0,0,0,16.219,334.8,7.66,79.67,60.6,5.34,3.115,"1,736.86",0.290084595,"8,938.17",80.363,446.87,78.0871843,434.215
55,10/2/2014 8:35,"1,790.33",170.344,16.219,334.8,1.29,5.18,-0.51,-0.47,3.05,25.9,79.75,60.7,5.95,7.66,-1.115,0,0,0,0,0,0,0,16.22,334.8,7.66,80.21,60.6,5.11,3.095,"1,743.32",0.289441521,"8,918.53",80.48863543,447.5825,78.37518666,435.83
56,10/2/2014 8:35,"1,787.34",170.328,16.219,334.8,1.29,5.2,-0.51,-0.48,3.06,25.74,79.25,60.7,5.95,7.66,-1.114,0,0,0,0,0,0,0,16.221,334.8,7.66,80.8,60.6,4.86,3.05,"1,779.38",0.289408458,"8,917.70",80.35171979,446.835,79.99386975,444.845
57,10/2/2014 8:35,"1,786.26",170.324,16.219,334.8,1.29,5.19,-0.52,-0.48,3.05,25.66,79.01,60.6,5.95,7.66,-1.114,0,0,0,0,0,0,0,16.221,334.8,7.66,81.29,60.6,5.03,3.035,"1,767.21",0.289401662,"8,917.49",80.30316727,446.565,79.4467548,441.8025
58,10/2/2014 8:35,"1,788.13",170.156,16.219,334.8,1.3,5.22,-0.52,-0.48,3.05,25.59,78.79,60.6,5.95,7.66,-1.114,0,0,0,0,0,0,0,16.221,334.8,7.66,81.65,60.6,5.27,3.035,"1,778.30",0.289116209,"8,908.69",80.38723505,447.0325,79.94531723,444.575
59,10/2/2014 8:35,"1,785.97",170.311,16.219,334.8,1.3,5.24,-0.51,-0.48,3.05,25.59,78.8,60.6,5.95,7.66,-1.113,0,0,0,0,0,0,0,16.22,334.8,7.66,81.95,60.6,5.7,3.03,"1,787.84",0.289385448,"8,916.81",80.29262104,446.4925,80.37669143,446.96
60,10/2/2014 8:36,"1,786.18",170.202,16.219,334.8,1.3,5.23,-0.52,-0.48,3.07,25.62,78.88,60.6,5.95,7.66,-1.113,0,0,0,0,0,0,0,16.22,334.8,7.66,81.96,60.6,5.76,3.04,"1,809.77",0.28920024,"8,911.10",80.3020621,446.545,81.36260787,452.4425
61,10/2/2014 8:36,"1,787.33",170.271,16.219,334.8,1.3,5.25,-0.51,-0.48,3.06,25.68,79.09,60.6,5.95,7.66,-1.112,0,0,0,0,0,0,0,16.22,334.8,7.66,81.93,60.4,5.67,3.03,"1,805.91",0.289317482,"8,914.71",80.35376314,446.8325,81.18907219,451.4775
62,10/2/2014 8:36,"1,784.36",170.289,16.22,334.8,1.31,5.28,-0.52,-0.49,3.07,25.78,79.37,60.6,5.95,7.66,-1.112,0,0,0,0,0,0,0,16.22,334.8,7.66,81.75,60.2,5.5,3.045,"1,782.68",0.289348067,"8,915.65",80.22023958,446.09,80.1447111,445.67
63,10/2/2014 8:36,"1,787.41",170.064,16.22,334.8,1.31,5.27,-0.52,-0.49,3.08,25.86,79.64,60.6,5.95,7.66,-1.112,22.45,0.31,0.64,0.3,19.2,20,20.2,16.221,334.8,7.66,81.67,60.2,5.43,3.05,"1,786.08",0.28895989,"8,903.87",80.35486671,446.8525,80.29507518,446.52
64,10/2/2014 8:36,"1,788.13",170.384,16.22,334.8,1.31,5.29,-0.52,-0.49,3.08,25.99,80.04,60.6,5.95,7.66,-1.111,0,0,0,0,0,0,0,16.222,334.8,7.66,81.64,60.3,5.38,3.06,"1,798.95",0.289497732,"8,920.63",80.38474114,447.0325,80.87115034,449.7375
65,10/2/2014 8:36,"1,785.30",170.593,16.22,334.8,1.32,5.3,-0.53,-0.49,3.08,26.09,80.34,60.6,5.95,7.66,-1.111,0,0,0,0,0,0,0,16.222,334.8,7.66,81.73,60.5,5.34,3.02,"1,794.23",0.289852842,"8,931.57",80.2575195,446.325,80.65896444,448.5575
66,10/2/2014 8:36,"1,788.67",170.471,16.22,334.8,1.32,5.32,-0.53,-0.5,3.08,26.2,80.68,60.6,5.94,7.66,-1.11,0,0,0,0,0,0,0,16.222,334.8,7.66,81.83,60.5,5.35,3.015,"1,755.57",0.289645553,"8,925.18",80.40901664,447.1675,78.92101804,438.8925
67,10/2/2014 8:36,"1,788.90",170.676,16.22,334.8,1.32,5.3,-0.53,-0.49,3.06,26.28,80.91,60.6,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.221,334.8,7.66,81.98,60.5,5.33,2.975,"1,754.36",0.289999754,"8,935.92",80.4218512,447.225,78.86906975,438.59
68,10/2/2014 8:36,"1,787.17",170.433,16.22,334.8,1.32,5.33,-0.53,-0.5,3.07,26.33,81.09,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.221,334.7,7.66,82.14,60.5,5.31,2.965,"1,767.50",0.289586867,"8,923.19",80.34407726,446.7925,79.45979205,441.875
69,10/2/2014 8:36,"1,789.42",170.041,16.22,334.8,1.26,5.08,-0.51,-0.47,3.06,26.37,81.18,60.5,5.94,7.66,-1.109,0,0,0,0,0,0,0,16.222,334.6,7.66,82.14,60.5,5.32,2.98,"1,768.86",0.288914944,"8,902.67",80.44273262,447.355,79.51846521,442.215
70,10/2/2014 8:36,"1,787.84",170.362,16.221,334.8,1.27,5.1,-0.51,-0.48,3.06,26.39,81.25,60.5,5.94,7.66,-1.11,0,0,0,0,0,0,0,16.223,334.6,7.66,82.12,60.5,5.28,3.005,"1,754.79",0.289454476,"8,919.48",80.36921089,446.96,78.88350612,438.6975
